task,round,global_round,task_progress,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,fpr,loss
2,33,153,2.4125,42.6115,42.6115,51.8481,81.2125,42.6115,56.3871,42.6115,42.6115,40.8605,47.5622,98.3961,8.111527
2,34,154,2.425,40.5172,40.5172,48.098,69.5784,40.5172,54.737,40.5172,40.5172,39.8161,46.5118,96.2416,8.107389
2,35,155,2.4375,31.5046,31.5046,41.9615,65.6907,31.5046,43.2027,31.5046,31.5046,30.5218,35.3812,99.9952,9.567615
2,36,156,2.45,32.8739,32.8739,45.8607,79.3125,32.8739,45.0222,32.8739,32.8739,31.7391,37.6323,99.6735,8.810838
2,37,157,2.4625,31.2491,31.2491,43.0772,70.2061,31.2491,44.2615,31.2491,31.2491,30.213,35.5111,99.9954,9.126409
2,38,158,2.475,25.066,25.066,37.9705,63.6524,25.066,38.8629,25.066,25.066,24.1452,26.9988,99.9986,10.591275
2,39,159,2.4875,28.6365,28.6365,34.6956,51.5253,28.6365,41.9308,28.6365,28.6365,27.6874,31.0793,99.9988,10.02282
2,40,160,2.5,29.0011,29.0011,42.3302,67.2338,29.0011,43.0083,29.0011,29.0011,28.3712,31.4437,99.9992,9.318032
2,41,161,2.5125,31.6959,31.6959,46.1555,80.7082,31.6959,44.9381,31.6959,31.6959,30.2709,35.9102,99.5988,8.851056
2,42,162,2.525,32.2096,32.2096,46.9798,80.9337,32.2096,45.2234,32.2096,32.2096,31.06,36.904,98.6584,8.953409
2,43,163,2.5375,32.1007,32.1007,46.7143,80.7292,32.1007,45.0304,32.1007,32.1007,30.7885,36.608,99.5376,9.041622
2,44,164,2.55,23.6772,23.6772,37.2341,65.7573,23.6772,37.4084,23.6772,23.6772,23.6835,26.0527,99.9986,11.32554
2,45,165,2.5625,23.6328,23.6328,34.8888,58.3184,23.6328,36.5976,23.6328,23.6328,23.5013,26.0258,99.9992,11.652824
2,46,166,2.575,30.4128,30.4128,46.5832,80.7485,30.4128,44.0303,30.4128,30.4128,29.5509,34.0269,99.6345,9.164591
2,47,167,2.5875,30.6693,30.6693,46.6634,80.5239,30.6693,44.0794,30.6693,30.6693,29.8015,34.8378,99.0242,8.969069
2,48,168,2.6,41.0476,41.0476,53.4564,81.5227,41.0476,56.2734,41.0476,41.0476,41.811,46.658,97.8386,8.380532
2,49,169,2.6125,28.5543,28.5543,46.743,80.6479,28.5543,42.7365,28.5543,28.5543,28.4377,31.1983,99.9292,9.006998
2,50,170,2.625,36.4633,36.4633,45.8231,80.4597,36.4633,47.2448,36.4633,36.4633,32.7062,42.1954,98.3712,8.678337
2,51,171,2.6375,34.6326,34.6326,46.7219,80.8991,34.6326,46.3198,34.6326,34.6326,32.3461,40.1611,98.7059,8.855211
2,52,172,2.65,29.0274,29.0274,46.7742,80.7547,29.0274,43.3213,29.0274,29.0274,28.3836,31.7629,99.5656,9.269345
2,53,173,2.6625,28.8586,28.8586,41.7559,64.4576,28.8586,42.8995,28.8586,28.8586,28.2706,31.3595,99.998,9.558103
2,54,174,2.675,29.0804,29.0804,46.4794,80.6541,29.0804,43.3842,29.0804,29.0804,28.2238,31.7958,99.5713,9.291596
2,55,175,2.6875,25.2014,25.2014,37.2048,62.2144,25.2014,39.3108,25.2014,25.2014,23.6776,27.102,99.9977,9.807597
2,56,176,2.7,28.6601,28.6601,42.2277,67.2917,28.6601,42.5294,28.6601,28.6601,28.3254,31.2131,99.999,9.57438
2,57,177,2.7125,28.6419,28.6419,35.8918,50.5924,28.6419,42.5578,28.6419,28.6419,28.4827,31.2221,99.9983,9.294146
2,58,178,2.725,29.8164,29.8164,42.7043,67.2766,29.8164,43.5656,29.8164,29.8164,28.838,32.0833,99.9989,9.594041
2,59,179,2.7375,39.8658,39.8658,52.9762,81.4165,39.8658,49.0107,39.8658,39.8658,34.0401,45.2925,98.1092,8.174155
2,60,180,2.75,31.5813,31.5813,46.4574,80.3108,31.5813,44.6462,31.5813,31.5813,30.299,36.0529,99.2993,8.735627
2,61,181,2.7625,33.1468,33.1468,46.1753,80.299,33.1468,45.5146,33.1468,33.1468,31.1204,38.1756,99.4936,8.912081
2,62,182,2.775,41.0194,41.0194,53.1294,81.5146,41.0194,56.1784,41.0194,41.0194,41.4061,46.4834,98.1953,8.41633
2,63,183,2.7875,38.3309,38.3309,53.1358,81.5328,38.3309,48.1488,38.3309,38.3309,33.7194,44.0145,98.4752,8.518419
2,64,184,2.8,43.4092,43.4092,53.1585,81.359,43.4092,57.6219,43.4092,43.4092,42.4966,48.4406,97.7861,8.084828
2,65,185,2.8125,41.1684,41.1684,53.0358,81.401,41.1684,56.1594,41.1684,41.1684,41.5099,46.6785,98.084,8.180772
2,66,186,2.825,32.1677,32.1677,46.5885,80.7284,32.1677,44.9314,32.1677,32.1677,30.8783,37.2019,98.5797,8.685568
2,67,187,2.8375,40.4499,40.4499,53.1902,81.5623,40.4499,55.8634,40.4499,40.4499,41.2231,46.0426,98.2593,8.423782
2,68,188,2.85,31.7429,31.7429,46.6608,80.7778,31.7429,44.8163,31.7429,31.7429,30.5502,36.4639,98.6991,8.94887
2,69,189,2.8625,32.3127,32.3127,46.369,80.7247,32.3127,45.0297,32.3127,32.3127,30.6333,37.2263,98.7006,8.993551
2,70,190,2.875,39.037,39.037,53.1137,81.4902,39.037,48.4607,39.037,39.037,33.6928,44.6282,98.1808,8.414912
2,71,191,2.8875,25.0449,25.0449,28.2731,41.1105,25.0449,38.9962,25.0449,25.0449,23.3515,26.8719,99.9984,10.429714
2,72,192,2.9,42.5095,42.5095,53.0558,81.3886,42.5095,57.054,42.5095,42.5095,42.0002,47.75,97.9287,8.034083
2,73,193,2.9125,32.8189,32.8189,46.4001,80.8094,32.8189,45.3025,32.8189,32.8189,31.0896,37.9368,98.727,8.864673
2,74,194,2.925,25.1361,25.1361,35.5243,56.7843,25.1361,38.999,25.1361,25.1361,23.7465,26.9962,99.9983,10.270082
